config,tasks,iters,producers_per_node,trial,uniform_s,toposteal_s,speedup,u_local_steals,u_remote_steals,t_local_steals,t_remote_steals
heavy-imbalance-long,1200,2000000,2,1,8.636320,7.695032,1.1223,513,465,852,146
heavy-imbalance-long,1200,2000000,2,2,8.840203,7.619166,1.1603,493,495,857,140
heavy-imbalance-long,1200,2000000,2,3,8.780780,7.927077,1.1077,478,517,829,166
heavy-imbalance-long,1200,2000000,2,4,8.728684,7.647793,1.1413,521,476,862,131
heavy-imbalance-long,1200,2000000,2,5,8.759071,7.554987,1.1594,533,455,856,138
heavy-imbalance-long,1200,2000000,2,6,8.854893,7.509574,1.1791,467,522,865,131
heavy-imbalance-long,1200,2000000,2,7,8.712544,7.580462,1.1493,476,512,840,155
heavy-imbalance-long,1200,2000000,2,8,8.672061,7.460136,1.1625,477,514,870,123
heavy-imbalance-long,1200,2000000,2,9,8.754126,7.459057,1.1736,478,509,851,142
heavy-imbalance-long,1200,2000000,2,10,8.813244,7.697127,1.1450,508,478,824,172
heavy-imbalance-med,1200,1000000,2,1,4.432018,3.792847,1.1685,507,482,863,131
heavy-imbalance-med,1200,1000000,2,2,4.411494,3.774276,1.1688,489,495,855,136
heavy-imbalance-med,1200,1000000,2,3,4.401610,3.687339,1.1937,478,501,838,159
heavy-imbalance-med,1200,1000000,2,4,4.369421,3.698402,1.1814,476,505,859,133
heavy-imbalance-med,1200,1000000,2,5,4.375953,3.752314,1.1662,482,497,850,141
heavy-imbalance-med,1200,1000000,2,6,4.372303,3.716295,1.1765,494,489,850,143
heavy-imbalance-med,1200,1000000,2,7,4.381454,3.736724,1.1725,496,485,846,148
heavy-imbalance-med,1200,1000000,2,8,4.373410,3.649257,1.1984,487,495,863,131
heavy-imbalance-med,1200,1000000,2,9,4.330810,3.660560,1.1831,489,491,865,127
heavy-imbalance-med,1200,1000000,2,10,4.342166,3.668016,1.1838,472,510,850,143
moderate-imbalance-long,1200,2000000,4,1,8.427314,7.275298,1.1583,387,384,692,110
moderate-imbalance-long,1200,2000000,4,2,8.473753,7.254737,1.1680,392,377,696,103
moderate-imbalance-long,1200,2000000,4,3,8.490907,7.418088,1.1446,382,387,667,122
moderate-imbalance-long,1200,2000000,4,4,8.441111,7.335342,1.1507,411,361,679,112
moderate-imbalance-long,1200,2000000,4,5,8.523683,7.342614,1.1609,378,393,659,133
moderate-imbalance-long,1200,2000000,4,6,8.415215,7.348342,1.1452,403,375,685,105
moderate-imbalance-long,1200,2000000,4,7,8.450873,7.479253,1.1299,384,392,648,140
moderate-imbalance-long,1200,2000000,4,8,8.507887,7.432903,1.1446,409,371,678,116
moderate-imbalance-long,1200,2000000,4,9,8.593404,7.232968,1.1881,368,403,679,120
moderate-imbalance-long,1200,2000000,4,10,8.516036,7.423029,1.1472,407,373,681,110
many-short-tasks,2400,500000,2,1,4.385239,3.761416,1.1658,1006,957,1704,277
many-short-tasks,2400,500000,2,2,4.331025,3.722515,1.1635,986,987,1681,308
many-short-tasks,2400,500000,2,3,4.370498,3.751569,1.1650,992,967,1699,284
many-short-tasks,2400,500000,2,4,4.369538,3.724777,1.1731,975,993,1702,282
many-short-tasks,2400,500000,2,5,4.336422,3.717892,1.1664,979,986,1658,323
many-short-tasks,2400,500000,2,6,4.383965,3.727587,1.1761,944,1017,1678,302
many-short-tasks,2400,500000,2,7,4.371147,3.746256,1.1668,973,988,1694,289
many-short-tasks,2400,500000,2,8,4.367473,3.770870,1.1582,1005,960,1678,302
many-short-tasks,2400,500000,2,9,4.350016,3.706770,1.1735,1018,949,1714,263
many-short-tasks,2400,500000,2,10,4.354349,3.726540,1.1685,976,980,1666,315
extreme-imbalance,1200,1000000,1,1,4.440442,3.740055,1.1873,523,568,920,176
extreme-imbalance,1200,1000000,1,2,4.365009,3.735111,1.1686,556,534,946,149
extreme-imbalance,1200,1000000,1,3,4.407312,3.707266,1.1888,573,516,928,168
extreme-imbalance,1200,1000000,1,4,4.371844,3.794580,1.1521,568,522,908,186
extreme-imbalance,1200,1000000,1,5,4.369908,3.799215,1.1502,550,540,922,171
extreme-imbalance,1200,1000000,1,6,4.417045,3.760313,1.1746,531,559,923,171
extreme-imbalance,1200,1000000,1,7,4.418802,3.750673,1.1781,528,565,927,169
extreme-imbalance,1200,1000000,1,8,4.427498,3.791997,1.1676,557,533,932,163
extreme-imbalance,1200,1000000,1,9,4.450883,3.754841,1.1854,540,550,919,178
extreme-imbalance,1200,1000000,1,10,4.413989,3.809369,1.1587,558,533,914,181
