trial,root,mode,time_s,mteps,edges,local_steals,remote_steals
1,4095,uniform,0.184870,180.8,33426796,102,113
1,4095,topostatic,0.161376,207.1,33426796,177,39
1,4095,topopmu,0.159592,209.5,33426796,156,61
1,4095,openmp,0.093781,356.4,33426796,0,0
1,69631,uniform,0.155459,215.0,33426796,112,103
1,69631,topostatic,0.155723,214.7,33426796,168,47
1,69631,topopmu,0.154999,215.7,33426796,155,65
1,69631,openmp,0.090569,369.1,33426796,0,0
1,135167,uniform,0.157892,211.7,33426796,104,115
1,135167,topostatic,0.156865,213.1,33426796,173,46
1,135167,topopmu,0.157702,212.0,33426796,157,62
1,135167,openmp,0.092517,361.3,33426796,0,0
1,200703,uniform,0.157606,212.1,33426796,114,104
1,200703,topostatic,0.159773,209.2,33426796,177,37
1,200703,topopmu,0.157738,211.9,33426796,160,57
1,200703,openmp,0.089856,372.0,33426796,0,0
1,264191,uniform,0.156339,213.8,33426796,115,102
1,264191,topostatic,0.154963,215.7,33426796,176,43
1,264191,topopmu,0.157457,212.3,33426796,155,64
1,264191,openmp,0.092414,361.7,33426796,0,0
1,331775,uniform,0.160798,207.9,33426796,115,102
1,331775,topostatic,0.158954,210.3,33426796,184,33
1,331775,topopmu,0.157009,212.9,33426796,158,58
1,331775,openmp,0.091133,366.8,33426796,0,0
1,397311,uniform,0.157000,212.9,33426796,110,107
1,397311,topostatic,0.161560,206.9,33426796,160,59
1,397311,topopmu,0.162141,206.2,33426796,150,67
1,397311,openmp,0.091159,366.7,33426796,0,0
1,462847,uniform,0.152002,219.9,33426796,106,113
1,462847,topostatic,0.150456,222.2,33426796,171,46
1,462847,topopmu,0.157484,212.3,33426796,156,61
1,462847,openmp,0.090229,370.5,33426796,0,0
1,528383,uniform,0.154981,215.7,33426796,115,102
1,528383,topostatic,0.155786,214.6,33426796,181,37
1,528383,topopmu,0.156895,213.1,33426796,152,65
1,528383,openmp,0.091919,363.7,33426796,0,0
1,592895,uniform,0.161087,207.5,33426796,113,104
1,592895,topostatic,0.154058,217.0,33426796,182,36
1,592895,topopmu,0.157764,211.9,33426796,163,54
1,592895,openmp,0.090120,370.9,33426796,0,0
1,663551,uniform,0.157589,212.1,33426796,111,104
1,663551,topostatic,0.157226,212.6,33426796,174,40
1,663551,topopmu,0.155665,214.7,33426796,166,51
1,663551,openmp,0.089942,371.7,33426796,0,0
1,729087,uniform,0.157532,212.2,33426796,106,111
1,729087,topostatic,0.159566,209.5,33426796,172,47
1,729087,topopmu,0.154766,216.0,33426796,152,65
1,729087,openmp,0.095120,351.4,33426796,0,0
1,790527,uniform,0.156950,213.0,33426796,115,105
1,790527,topostatic,0.155088,215.5,33426796,180,38
1,790527,topopmu,0.159781,209.2,33426796,156,62
1,790527,openmp,0.090352,370.0,33426796,0,0
1,854015,uniform,0.156990,212.9,33426796,109,106
1,854015,topostatic,0.154050,217.0,33426796,171,45
1,854015,topopmu,0.155962,214.3,33426796,155,63
1,854015,openmp,0.090658,368.7,33426796,0,0
1,919551,uniform,0.155122,215.5,33426796,122,95
1,919551,topostatic,0.160486,208.3,33426796,169,48
1,919551,topopmu,0.159862,209.1,33426796,146,72
1,919551,openmp,0.090572,369.1,33426796,0,0
1,989183,uniform,0.155799,214.6,33426796,108,108
1,989183,topostatic,0.154787,216.0,33426796,181,34
1,989183,topopmu,0.155199,215.4,33426796,151,66
1,989183,openmp,0.091477,365.4,33426796,0,0
2,4095,uniform,0.161400,207.1,33426796,108,108
2,4095,topostatic,0.157979,211.6,33426796,178,37
2,4095,topopmu,0.158041,211.5,33426796,156,60
2,4095,openmp,0.092477,361.5,33426796,0,0
2,69631,uniform,0.158668,210.7,33426796,111,104
2,69631,topostatic,0.155930,214.4,33426796,170,47
2,69631,topopmu,0.157496,212.2,33426796,141,80
2,69631,openmp,0.092221,362.5,33426796,0,0
2,135167,uniform,0.157406,212.4,33426796,114,104
2,135167,topostatic,0.158733,210.6,33426796,171,46
2,135167,topopmu,0.158069,211.5,33426796,176,42
2,135167,openmp,0.089633,372.9,33426796,0,0
2,200703,uniform,0.161988,206.4,33426796,115,100
2,200703,topostatic,0.159971,209.0,33426796,172,43
2,200703,topopmu,0.157355,212.4,33426796,167,49
2,200703,openmp,0.090992,367.4,33426796,0,0
2,264191,uniform,0.153832,217.3,33426796,119,99
2,264191,topostatic,0.157232,212.6,33426796,178,39
2,264191,topopmu,0.157119,212.7,33426796,157,62
2,264191,openmp,0.090366,369.9,33426796,0,0
2,331775,uniform,0.156496,213.6,33426796,110,109
2,331775,topostatic,0.159839,209.1,33426796,169,48
2,331775,topopmu,0.156304,213.9,33426796,164,54
2,331775,openmp,0.090125,370.9,33426796,0,0
2,397311,uniform,0.155132,215.5,33426796,111,106
2,397311,topostatic,0.157839,211.8,33426796,166,51
2,397311,topopmu,0.160277,208.6,33426796,162,56
2,397311,openmp,0.090147,370.8,33426796,0,0
2,462847,uniform,0.157737,211.9,33426796,94,125
2,462847,topostatic,0.157414,212.4,33426796,186,31
2,462847,topopmu,0.135638,246.4,33426796,152,68
2,462847,openmp,0.090900,367.7,33426796,0,0
2,528383,uniform,0.166394,200.9,33426796,109,106
2,528383,topostatic,0.155402,215.1,33426796,180,38
2,528383,topopmu,0.152726,218.9,33426796,150,68
2,528383,openmp,0.091009,367.3,33426796,0,0
2,592895,uniform,0.159031,210.2,33426796,114,103
2,592895,topostatic,0.157320,212.5,33426796,170,47
2,592895,topopmu,0.155955,214.3,33426796,161,57
2,592895,openmp,0.090926,367.6,33426796,0,0
2,663551,uniform,0.157185,212.7,33426796,124,91
2,663551,topostatic,0.156161,214.1,33426796,179,35
2,663551,topopmu,0.161254,207.3,33426796,149,67
2,663551,openmp,0.090226,370.5,33426796,0,0
2,729087,uniform,0.159426,209.7,33426796,95,121
2,729087,topostatic,0.157688,212.0,33426796,176,41
2,729087,topopmu,0.159767,209.2,33426796,151,68
2,729087,openmp,0.090823,368.0,33426796,0,0
2,790527,uniform,0.158598,210.8,33426796,101,117
2,790527,topostatic,0.158168,211.3,33426796,166,51
2,790527,topopmu,0.154488,216.4,33426796,157,62
2,790527,openmp,0.090318,370.1,33426796,0,0
2,854015,uniform,0.155925,214.4,33426796,101,117
2,854015,topostatic,0.153915,217.2,33426796,176,40
2,854015,topopmu,0.155820,214.5,33426796,158,59
2,854015,openmp,0.090488,369.4,33426796,0,0
2,919551,uniform,0.154564,216.3,33426796,98,120
2,919551,topostatic,0.156687,213.3,33426796,176,42
2,919551,topopmu,0.158476,210.9,33426796,137,82
2,919551,openmp,0.090688,368.6,33426796,0,0
2,989183,uniform,0.154039,217.0,33426796,97,118
2,989183,topostatic,0.141959,235.5,33426796,169,46
2,989183,topopmu,0.155802,214.5,33426796,147,72
2,989183,openmp,0.090563,369.1,33426796,0,0
3,4095,uniform,0.158022,211.5,33426796,97,120
3,4095,topostatic,0.160919,207.7,33426796,174,42
3,4095,topopmu,0.158420,211.0,33426796,151,66
3,4095,openmp,0.090994,367.4,33426796,0,0
3,69631,uniform,0.155249,215.3,33426796,122,97
3,69631,topostatic,0.157712,211.9,33426796,170,48
3,69631,topopmu,0.157961,211.6,33426796,149,70
3,69631,openmp,0.093424,357.8,33426796,0,0
3,135167,uniform,0.160200,208.7,33426796,103,117
3,135167,topostatic,0.157104,212.8,33426796,171,46
3,135167,topopmu,0.158005,211.6,33426796,155,63
3,135167,openmp,0.092460,361.5,33426796,0,0
3,200703,uniform,0.155077,215.5,33426796,103,111
3,200703,topostatic,0.157838,211.8,33426796,176,40
3,200703,topopmu,0.162449,205.8,33426796,144,75
3,200703,openmp,0.091015,367.3,33426796,0,0
3,264191,uniform,0.158673,210.7,33426796,99,119
3,264191,topostatic,0.154593,216.2,33426796,176,42
3,264191,topopmu,0.155601,214.8,33426796,145,75
3,264191,openmp,0.090509,369.3,33426796,0,0
3,331775,uniform,0.158506,210.9,33426796,111,106
3,331775,topostatic,0.156866,213.1,33426796,162,55
3,331775,topopmu,0.156731,213.3,33426796,164,55
3,331775,openmp,0.091039,367.2,33426796,0,0
3,397311,uniform,0.160937,207.7,33426796,104,113
3,397311,topostatic,0.159451,209.6,33426796,169,48
3,397311,topopmu,0.161730,206.7,33426796,163,56
3,397311,openmp,0.090419,369.7,33426796,0,0
3,462847,uniform,0.157598,212.1,33426796,111,106
3,462847,topostatic,0.157239,212.6,33426796,171,47
3,462847,topopmu,0.156983,212.9,33426796,188,30
3,462847,openmp,0.091565,365.1,33426796,0,0
3,528383,uniform,0.156002,214.3,33426796,114,103
3,528383,topostatic,0.157194,212.6,33426796,176,43
3,528383,topopmu,0.155682,214.7,33426796,151,69
3,528383,openmp,0.091923,363.6,33426796,0,0
3,592895,uniform,0.150080,222.7,33426796,110,108
3,592895,topostatic,0.156160,214.1,33426796,170,46
3,592895,topopmu,0.159345,209.8,33426796,152,68
3,592895,openmp,0.091013,367.3,33426796,0,0
3,663551,uniform,0.157784,211.9,33426796,95,122
3,663551,topostatic,0.158993,210.2,33426796,177,40
3,663551,topopmu,0.151112,221.2,33426796,150,66
3,663551,openmp,0.090388,369.8,33426796,0,0
3,729087,uniform,0.153956,217.1,33426796,102,115
3,729087,topostatic,0.162623,205.5,33426796,174,46
3,729087,topopmu,0.159162,210.0,33426796,156,62
3,729087,openmp,0.091213,366.5,33426796,0,0
3,790527,uniform,0.152885,218.6,33426796,108,111
3,790527,topostatic,0.158266,211.2,33426796,174,46
3,790527,topopmu,0.156883,213.1,33426796,149,71
3,790527,openmp,0.091111,366.9,33426796,0,0
3,854015,uniform,0.160341,208.5,33426796,110,107
3,854015,topostatic,0.161318,207.2,33426796,170,46
3,854015,topopmu,0.154830,215.9,33426796,169,46
3,854015,openmp,0.090686,368.6,33426796,0,0
3,919551,uniform,0.158110,211.4,33426796,119,100
3,919551,topostatic,0.155350,215.2,33426796,180,36
3,919551,topopmu,0.158809,210.5,33426796,167,48
3,919551,openmp,0.090932,367.6,33426796,0,0
3,989183,uniform,0.153672,217.5,33426796,104,115
3,989183,topostatic,0.153966,217.1,33426796,171,44
3,989183,topopmu,0.142958,233.8,33426796,155,63
3,989183,openmp,0.091091,367.0,33426796,0,0
