trial,mode,total_s,mean_us,p50_us,p90_us,p99_us,p999_us,max_us,stolen_p50,stolen_p99,stolen_p999,stolen_max,cross_p50,cross_p99,cross_p999,cross_max,local_p50,local_p99,local_p999,local_max,local_steals,remote_steals
1,uniform,1.766110,3741.7,0.0,10355.3,11111.9,11485.8,11675.5,8235.8,11264.6,11527.8,11675.5,10389.7,11382.1,11675.5,11675.5,7734.3,8423.2,8627.4,8627.4,2169,2176
1,topostatic,1.450930,3091.3,0.0,7223.6,11423.0,11810.0,12037.1,6919.6,11625.5,11937.5,12037.1,11074.0,11911.7,12037.1,12037.1,6853.9,7628.2,7846.4,7868.3,3766,607
1,topopmu,1.444471,3076.9,0.0,7216.2,11438.6,11859.5,12312.0,6896.8,11612.0,11947.2,12312.0,11084.3,11920.6,11947.2,11947.2,6842.7,7635.1,7780.7,12312.0,3772,598
2,uniform,1.756411,3741.8,0.0,10309.1,11142.6,11613.3,11930.7,8312.5,11347.2,11831.5,11930.7,10318.2,11481.7,11930.7,11930.7,7792.0,8497.5,8952.9,8952.9,2170,2174
2,topostatic,1.458090,3098.8,0.0,7212.0,11395.0,11770.7,11977.3,6935.1,11561.8,11968.1,11977.3,11048.6,11862.8,11977.3,11977.3,6869.9,7565.0,7788.6,7830.7,3745,627
2,topopmu,1.452459,3105.3,0.0,7264.7,11460.2,11857.0,12065.9,6939.8,11633.6,11990.7,12065.9,11064.5,11950.1,12065.9,12065.9,6867.8,7541.5,7840.7,7845.1,3753,618
3,uniform,1.782449,3796.4,0.0,9606.7,10396.3,10816.1,16230.3,8961.8,10611.1,11268.9,16230.3,9608.5,10710.9,16230.3,16230.3,8473.9,9481.3,9700.3,9700.3,2123,2235
3,topostatic,1.550559,3312.2,0.0,7955.3,10755.6,11076.2,13850.6,7658.6,10883.0,11276.3,13850.6,10431.6,11122.1,11276.3,11276.3,7585.4,8262.3,8595.9,13850.6,3769,614
3,topopmu,1.544871,3301.1,0.0,8004.5,10633.5,10981.3,11300.1,7633.1,10799.0,11106.9,11300.1,10318.4,11065.0,11300.1,11300.1,7550.6,8457.7,8918.1,9090.2,3783,602
4,uniform,1.780089,3781.0,0.0,9618.5,10427.2,10800.1,11009.8,8923.7,10630.3,10917.5,11009.8,9632.9,10734.7,11009.8,11009.8,8461.7,9448.3,9877.6,9877.6,2171,2208
4,topostatic,1.549256,3286.0,0.0,7996.7,10720.6,10983.3,11208.7,7611.3,10881.0,11185.4,11208.7,10328.2,11106.8,11208.7,11208.7,7534.7,8384.5,8644.3,8666.8,3723,664
4,topopmu,1.551238,3295.9,0.0,7993.3,10697.1,11021.0,13584.6,7614.1,10844.6,11231.1,13584.6,10314.0,11021.0,11231.1,11231.1,7530.7,8395.8,8722.7,13584.6,3718,665
5,uniform,1.775904,3771.8,0.0,9597.1,10447.0,10903.3,16712.0,8923.8,10612.0,11132.6,16712.0,9587.7,10759.3,16712.0,16712.0,8472.4,9512.5,9771.8,9771.8,2192,2188
5,topostatic,1.546517,3299.4,0.0,7954.9,10673.1,11215.8,11381.3,7599.0,10850.3,11361.3,11381.3,10310.2,11322.3,11381.3,11381.3,7539.6,8371.8,8774.3,8795.9,3762,623
5,topopmu,1.544204,3283.9,0.0,7952.5,10679.5,11088.9,11228.1,7607.7,10890.2,11167.4,11228.1,10306.9,11126.8,11228.1,11228.1,7544.2,8450.9,8650.2,8661.8,3765,617
6,uniform,1.775394,3781.0,0.0,9641.6,10466.8,10973.2,24728.9,8912.8,10628.5,22194.0,24728.9,9662.0,10769.0,22194.0,22194.0,8450.3,9450.3,24728.9,24728.9,2232,2144
6,topostatic,1.547530,3300.4,0.0,8021.3,10696.6,11063.5,11222.8,7616.8,10870.6,11161.1,11222.8,10320.9,11148.7,11222.8,11222.8,7533.7,8532.9,8821.0,8889.3,3761,620
6,topopmu,1.550997,3303.3,0.0,8020.9,10695.6,11193.9,15135.3,7638.5,10874.5,13820.5,15135.3,10356.6,11193.9,11638.9,11638.9,7557.9,8465.9,13820.5,15135.3,3752,629
7,uniform,1.776908,3775.0,0.0,9630.5,10405.3,10748.2,10807.6,8979.8,10550.3,10805.4,10807.6,9642.2,10646.2,10807.6,10807.6,8442.8,9490.1,9631.0,9631.0,2197,2181
7,topostatic,1.547790,3315.7,0.0,7921.4,10691.7,10987.2,172412.1,7599.8,10869.5,11108.1,172412.1,10335.8,11005.7,11108.1,11108.1,7526.5,8492.2,8809.1,172412.1,3733,652
7,topopmu,1.541083,3434.0,0.0,8007.0,10740.0,11115.8,755511.1,7578.7,10883.4,11201.7,11205.7,10215.0,11115.8,11205.7,11205.7,7506.2,8462.8,8711.7,8755.0,3734,652
8,uniform,1.784194,3780.9,0.0,9626.3,10374.5,10760.9,10859.6,8933.4,10552.6,10829.1,10859.6,9615.9,10643.2,10859.6,10859.6,8493.0,9596.1,9815.2,9815.2,2111,2271
8,topostatic,1.541586,3286.4,0.0,7914.5,10800.4,12269.4,13935.6,7552.9,10968.0,12651.2,13935.6,10413.7,12493.0,12651.2,12651.2,7489.0,9234.9,10665.3,13935.6,3772,613
8,topopmu,1.541025,3267.6,0.0,7934.0,10733.3,11052.2,11247.6,7523.7,10886.3,11233.8,11247.6,10351.1,11140.3,11247.6,11247.6,7451.0,8411.9,8516.7,8611.4,3780,603
9,uniform,1.777713,3762.0,0.0,9727.5,10444.2,10805.0,11093.4,8842.9,10577.0,10924.7,11093.4,9748.1,10738.0,11093.4,11093.4,8418.0,9284.6,9546.4,9546.4,2147,2230
9,topostatic,1.536989,3250.4,0.0,7857.2,10748.4,10977.3,11165.4,7513.4,10897.8,11053.4,11165.4,10500.9,11051.7,11165.4,11165.4,7456.1,8234.7,8650.3,8698.3,3785,595
9,topopmu,1.547178,3290.0,0.0,7892.4,10827.0,11205.9,18292.4,7555.5,10995.6,15808.2,18292.4,10489.2,11187.2,11588.6,11588.6,7487.9,8425.3,15808.2,18292.4,3751,631
10,uniform,1.771049,3743.4,0.0,9674.6,10439.7,10766.7,11015.3,8892.0,10575.1,10839.0,11015.3,9665.2,10667.0,11015.3,11015.3,8398.0,9229.0,9489.0,9489.0,2171,2208
10,topostatic,1.539068,3419.2,0.0,7867.0,10814.9,11186.8,762909.8,7530.5,10956.7,18395.0,762909.8,10535.1,11320.1,18395.0,18395.0,7473.2,8347.9,9385.7,762909.8,3775,608
10,topopmu,1.548419,3275.5,0.0,7857.0,10770.2,11109.9,16860.2,7537.4,10924.9,11215.0,16860.2,10495.7,11195.1,16860.2,16860.2,7477.7,8348.2,10293.0,10395.3,3774,606
