trial,mode,time_s,gflops,local_steals,remote_steals
1,uniform,0.459836,6.755,212,154
1,topostatic,0.424181,7.323,299,67
1,topopmu,0.413059,7.520,289,76
1,openmp,0.441679,7.032,0,0
2,uniform,0.450201,6.899,183,181
2,topostatic,0.416819,7.452,301,65
2,topopmu,0.411418,7.550,291,73
2,openmp,0.440940,7.044,0,0
3,uniform,0.460563,6.744,185,181
3,topostatic,0.420473,7.387,294,70
3,topopmu,0.424842,7.311,287,76
3,openmp,0.445433,6.973,0,0
4,uniform,0.441992,7.027,191,179
4,topostatic,0.399108,7.783,303,62
4,topopmu,0.410147,7.573,280,85
4,openmp,0.438504,7.083,0,0
5,uniform,0.452922,6.858,181,188
5,topostatic,0.423056,7.342,313,52
5,topopmu,0.421896,7.362,287,77
5,openmp,0.425855,7.294,0,0
